phrasalVerb,definition
gum up,to stop a process from working smoothly
gun down,"to shoot someone and kill them or injure them badly, especially someone who is not guilty of anything, or who is not carrying a gun"
gun for,"to try to get something, for example a job or prize"
gun for,to try to hurt someone or damage their reputation
gussy up,"to make someone or something more attractive or interesting, especially in a way that is intended to impress people but is not useful or necessary"
gut out,to be determined to continue doing something that is difficult or unpleasant
hack around,waste time
hack into,to cough loudly
hack into,"to cut something in a rough way, with a lot of energy, or many times"
hack into,to go for a ride on a horse for pleasure in the countryside or on ordinary roads
hack into,to have enough energy or interest to deal with something
hack into,"to illegally intercept another person’s phone calls or messages, especially by listening to their voicemail without their knowledge or consent"
hack into,to spoil a piece of writing by removing or changing a lot of its parts
hack into,"to use a computer to connect to someone else’s computer secretly and often illegally, so that you can find or change information on it"
hack off,annoy
hack up,to cut something into pieces using a knife or other sharp tool in a rough or violent way
hack up,to remove something from your throat or lungs by coughing in a loud rough way
hail from,to be from a particular place
ham up,perform or act in an excessive way to attract attention or amuse people
hammer away at,to do something with great energy and with all your attention
hammer away at,to keep attacking someone or something
hammer into,to keep telling someone something in order to make them understand or accept it
hammer out,to reach a decision or agreement after discussing it or arguing about it for a long time
hand back,to give something back to someone
hand back,to say that you have finished making a television or news report from a place to people and that you now let someone in the studio speak instead
hand down,"to give clothes, toys etc to a younger child when an older child no longer needs them"
hand down,to give knowledge or skill to someone who is younger than you and will live after you have died
hand down,to say officially that someone should receive a particular punishment
hand in,to give something to a person in authority
hand in,to say officially that you have decided to leave your job
hand on,to give someone something that was given to you
hand out,to give something such as information or advice to someone
hand out,to give things to different people in a group
hand out,to say officially that someone should receive a particular punishment
hand over,to give power or control to someone else
hand over,to give someone to the police or another authority that will become responsible for them
hand over,to give something to someone by holding it in your hand and offering it to them
hand over,to stop speaking to or dealing with someone and let someone else do it
hand round,to give things to different people in a group
hang about,same as hang
hang about,used for saying that you disagree with what someone is saying or doing or that you want them to listen to you
hang about!,same as hang
hang about!,used for saying that you disagree with what someone is saying or doing or that you want them to listen to you
hang around,to spend time in a place waiting or doing nothing
hang around,to start doing something immediately
hang around with,to spend time with someone
hang back,to not do something immediately because you are not confident or you do not feel certain about it
hang back from,delay or avoid doing something
hang in there,"persevere, not give up"
hang it up,"retire, quit"
hang on,to continue doing something and achieve success even though there are difficulties
hang on,to depend on something
hang on,to hold tightly to something
hang on,to listen very carefully to what someone is saying
hang on,to wait or be patient
hang on,used for saying that you have just realized something
hang onto,to keep something
hang out,same as hang
hang out,to hang wet clothes outside to dry
hang out,to lean out of a window so that the top part of your body is outside
hang out for,wait or refuse to do something until you get what you want
hang over,"if something hangs over you, you worry about it or feel upset about it"
hang together,"if something hangs together, the different parts of it combine well so that it seems well planned and organized"
hang up,to hang a piece of clothing on something
hang up,"to leave your job, especially when you are old enough to stop working"
hang up,to stop using a telephone at the end of a conversation
hang up,to stop using something because you are no longer doing a particular sport or activity
hang up on,to hang a piece of clothing on something
hang up on,"to leave your job, especially when you are old enough to stop working"
hang up on,to stop using a telephone at the end of a conversation
hang up on,to stop using something because you are no longer doing a particular sport or activity
hang with,same as hang
hanker after,"want something a lot, especially if you shouldn't want it or can't have it"
hanker for,"want something a lot, especially if you shouldn't want it or can't have it"
happen along,to come to a particular place without planning to
happen on,to meet someone or to find something without planning to
happen to,"if something happens to you, an event or action takes place which affects you"
happen to,used as a way of avoiding talking directly about something bad that might take place
happen to,used for asking where someone is now and what they are doing
happen to,used for asking where something is
happen to,used for asking why something does not happen or exist now
happen to,used for talking about the way that something changes or develops
hark at,"used for showing that you are surprised, impressed, or offended by something that someone has just said"
hark back to,to be similar to something from the past
hark back to,to remember or talk about something that happened in the past
harp on,to keep talking or complaining about something in a way that makes people bored or annoyed
hash out,to discuss a plan or agreement in order to agree about the details
hash up,to do something very badly
hatch out,same as hatch
hate on,"be jealous, abuse or have an active hatred of someone"
haul in,same as haul
haul in,to earn a lot of money
haul off,to take someone away to a place they do not want to go
have against,to be opposed to a plan or suggestion for a particular reason
have against,to dislike someone or not approve of them for a particular reason
have around,entertain someone in your home
have away,to have sex with someone
have down as,think of someone or something in a particular way
have got against,to be opposed to a plan or suggestion for a particular reason
have got against,to dislike someone or not approve of them for a particular reason
have in,"if a shop has something in, it is available in the shop for you to buy"
have in,"if you have a friend or neighbour in, they come to your house and have a meal or a drink with you"
have in,"if you have someone in, they come to your house, office, factory etc to do some work there"
have in,"to have a supply of something that you regularly use in your house, for example food, drink, or fuel"
have in for,to want to cause trouble for someone because you dislike them
have it away,"have sex with someone, especially casual sex"
have it in for,hold a grudge
have it off,have sex
have it out with,discuss or argue an issue to improve a situation
have off,to have sex with someone
have on,"if you have the radio, television, heating etc on, you have switched it on and it is working"
have on,"to be trying to make someone believe something that is not true, as a joke"
have on,"to be wearing particular clothes, shoes etc"
have on,"to have arranged to do something at a particular time, so that you are not available to do anything else"
have on,to have information about someone that shows they have done something dishonest or illegal
have out,to have a tooth removed from your mouth or an organ removed from your body
have out,to talk to someone honestly and directly about a problem that is causing disagreement or about something they have done that is making you angry
have over,"if you have someone over, they come to your house to visit you or to stay with you"
have round,"if you have someone round, especially someone who lives near you, they come to your house"
have up,to send someone to a court of law because they have been accused of a crime
head for,move or travel towards
head off,to leave
head off,to prevent someone from going somewhere by getting in front of them
head off,to prevent something from taking place
head out,go out
head up,same as head
heal over,"if an injury heals over, new skin forms over it and it becomes healthy again"
heal up,"if an injury heals up, the skin or bone grows back together and becomes healthy again"
heap up,same as heap
hear about,"if a court case is heard, it is dealt with by a court or judge"
hear about,"if a court hears something, that is what is said in court"
hear about,to listen to someone who is speaking about a particular thing
hear about,"to listen to something such as a speech, performance, or programme"
hear about,to notice that someone is affected by a particular feeling from the way that they are speaking
hear about,to realize that someone or something is making a sound
hear about,to receive information about something
hear about,to understand what someone is saying to you
hear about,used for talking about the things that people say
hear from,"if you hear from someone, they write to you, phone you, email you etc"
hear from,to listen to someone who is speaking about a particular thing
hear from,"used for saying that you will be angry with someone, and you will tell them this"
hear of,to find out that something has happened
hear of,to know about the existence of someone or something
hear of,to receive news about someone
hear of,to refuse to accept a suggestion or offer
hear out,"to listen to someone until they have finished speaking, without interrupting them"
heat through,"to heat food that has already been cooked, until every part of it is very hot"
heat up,"if a situation heats up, it becomes more exciting, dangerous, or serious"
heat up,same as heat
heave to,"if a ship heaves to, it stops moving. The past tense and past participle is hove to."
heave up,same as heave
hedge in,to limit someone’s freedom or ability to do something
hedge in,to surround someone or something
hedge with,to make special conditions for something so that you do not have to follow the usual rules
help along,to make something happen more quickly or easily
help out,"to help someone, especially by doing a particular job or by giving them money"
hem in,to enclose someone or something and prevent them from moving or leaving
hem in,to prevent someone from making their own choices or doing what they want
herd together,to make people come together to form a group
hew to,"conform, adhere"
hide away,to go to a place where no one can find you because you want to be alone
hide away,to put something in a place where no one can find it
hide behind,to use something as a way of preventing people from discovering information about you
hide out,to go somewhere where no one can find you
hike up,same as hike
hike up,"to pull up a piece of your clothing, usually in order to be more comfortable"
hinge on,to depend on something
hinge upon,depend very much or completely
hire out,same as hire
hire out,to send someone to work for other people for short periods of time in return for payment
hit back,to criticize someone who has criticized you
hit back,to deliberately hit someone because they have hit you
hit back,to start to play well against an opponent who was winning
hit for,"to ask someone for something, especially money"
hit it off,have a good relationship from the first time you meet a person
hit it off with,like someone from the first time you meet them
hit on,to discover something by chance
hit on,to suddenly have an idea
hit on,to try to start a conversation with someone because you are sexually attracted to them
hit out,to criticize someone or something very strongly
hit out,to say or do something in order to cause someone emotional pain
hit out,to try to hit someone or something in an uncontrolled way
hit out at,to criticize someone or something very strongly
hit out at,to say or do something in order to cause someone emotional pain
hit out at,to try to hit someone or something in an uncontrolled way
hit up,to get ready to play a game such as tennis by hitting the ball over the net
hit up on,inject drugs
hit upon,same as hit on
hit with,to make someone do something or experience something that is unpleasant
hit with,to tell someone something that is unpleasant or surprising
hitch up,same as hitch
hitch up,to pull something that you are wearing to a higher position
hive off,to consider something as separate from other things
hive off,to separate part of an organization or service and sell it
hoe in,to start doing something with energy and enthusiasm
hold against,"to feel angry with someone, because of something that they have done in the past"
hold back,"to decide not to do or say something, or to make someone decide not to do or say something"
hold back,"to not allow someone to have something, for example money"
hold back,to not show what you are thinking or feeling
hold back,to stop someone from being as successful as they should
hold back,to stop someone or something from moving forwards
hold back,to stop something from progressing or developing as it should
hold back from,not allow yourself to do something
hold down,"to hold someone who is lying down, so that they cannot move"
hold down,to hold something so it does not move upwards
hold down,"to prevent something from developing, or to prevent someone from doing what they want"
hold down,to stop prices or numbers from rising
hold down,to stop someone from having their freedom or rights
hold down,to succeed in keeping a job
hold forth,to hold something so that someone else can reach it or see it
hold forth,"to talk for a long time about something that is important to you, often in a way that other people think is boring"
hold in,to not allow your feelings to show
hold in,to stop something from moving outwards
hold off,"if rain or snow holds off, it does not fall, although you expected it to"
hold off,to deliberately delay doing something
hold off,to stop an opponent from starting to win or lead
hold off,to stop someone who is trying to attack you from coming close
hold off,to stop something from happening
hold on,to hold something tightly or carefully so that you do not drop it or do not fall
hold on,to keep trying to win or succeed
hold on,to manage to stay alive or continue to do something or deal with something in a difficult or dangerous situation
hold on,to wait
hold on,used for telling someone to listen or think
hold on,used for telling someone to stop or wait
hold on to,to continue feeling or believing something
hold on to,to hold something tightly or carefully so that you do not drop it or do not fall
hold on to,"to not lose something, or to not let someone else have it"
hold on to,to stop someone from leaving you or from doing what they want
hold onto,to continue feeling or believing something
hold onto,to hold something tightly or carefully so that you do not drop it or do not fall
hold onto,"to not lose something, or to not let someone else have it"
hold onto,to stop someone from leaving you or from doing what they want
hold out,to continue to be enough or continue to exist
hold out,to continue to defend a place that is being attacked
hold out,to hold something where someone else can reach it
hold out,to say or show that something may or will happen
hold out,to think that something is likely to happen or succeed
hold out against,try to reject
hold out for,to not accept an offer because you want a better one
hold out on,to not tell someone something
hold over,to do something or deal with something at a later time or date
hold over,to hold something above someone or something
hold over,to let a play or film continue for longer than was planned because it is so successful
hold over,to threaten to tell something that you know about someone in order to force them to do something
hold to,a friendly way of accepting an invitation or offer for a later date
hold to,to continue having a particular belief or standard
hold to,to do what you have promised or decided
hold to,to make someone continue to behave according to a particular belief or standard
hold to,to make someone do what they have promised or decided
hold together,"to remain in one piece and not break apart, or to make something do this"
hold together,to stay together and continue to have a good relationship in a difficult situation
hold up,"to cause a delay for someone or something, or to make them late"
hold up,"to hold something in a high position, so that it can be seen"
hold up,to remain strong or in a fairly good condition
hold up,"to steal from a person, business, or vehicle by threatening them with a gun or other weapon"
hold up,to support someone or something so that they do not fall down
hold up as,"to say that someone or something is an example of something, usually something good"
hold with,to not approve of an activity or action
hole up,"if you hole up or are holed up somewhere, you stay there, especially because you are hiding"
hollow out,"make an empty space inside in something, reduce power or authority"
home in on,to aim at something and move quickly and directly to it
home in on,to go straight to the most important part of a situation or the part of a situation that you are most interested in
hone in on,to give all your attention to something
hook into,"to become closely involved in something, often in a way that makes it difficult to stop being involved"
hook into,to become connected to something such as a computer network or phone system
hook up,"if two people hook up, they start a relationship together, or they start doing something together"
hook up,"if you hook up to a place or to the Internet, or if you hook something up, you become connected to it through your computer"
hook up,"to connect something to a piece of equipment, especially using a hook"
hook up,"to connect two pieces of electrical or electronic equipment together, or to connect a piece of equipment to a computer or power supply"
hook up to,"if two people hook up, they start a relationship together, or they start doing something together"
hook up to,"if you hook up to a place or to the Internet, or if you hook something up, you become connected to it through your computer"
hook up to,"to connect something to a piece of equipment, especially using a hook"
hook up to,"to connect two pieces of electrical or electronic equipment together, or to connect a piece of equipment to a computer or power supply"
hoon around,"act in a dangerous or reckless way, especially when driving fast"
hoover up,to clean the dirt or dust from a carpet or floor with a vacuum cleaner
horse around,to play in a very lively or rough way
hose down,to use a hose to clean something
hound out,"force someone out of a place, job, position, etc."
hover around,move about a place
howl down,to stop someone from speaking or being heard by shouting loudly and angrily
hunker down,to sit close to the ground on your heels with your knees bent up in front of you
hunker down,to wait for a difficult situation to end
hunt down,to try to find a particular thing or person
hunt down,to try to find every member of a group
hunt out,to look for and kill a type of animal until there are no more or very few left
hunt out,to look for members of a particular group in order to arrest or kill them
hunt out,to search very hard for something
hunt up,to find something or someone that is difficult to find
hurry up,to do something or move somewhere more quickly
hurry up,"to make someone do something more quickly, or to make something happen sooner"
hurry up,used for telling someone to do something more quickly
hush up,"if someone in authority hushes something up, they try to prevent people knowing about it"
hush up,used for telling someone to be quiet
hutch up,share accommodation with a number of people because of the high rent
hype up,to make something sound more interesting or impressive than it is
ice over,to become covered with ice
ice up,to become covered with ice
identify with,to consider someone or something to be involved or connected with a particular group or opinion
identify with,to feel that you can understand and share someone else’s feelings
identify with,to think that something is the same as something else or is closely related to it
idle away,to spend time relaxing and doing nothing
impress on,to try to make someone understand how important something is
improve on,"to make something better than it was before, or to do something better than you did before"
inform on,to secretly give the police or someone in authority information about someone
ink in,to finish a drawing of something using ink
inquire after,"to ask someone about someone else, especially about how they are or what they are doing"
inquire into,to ask questions and examine the answers in order to find out the truth about something
inquire of,to ask someone something
insist on,"to keep saying very firmly that something is true, even when other people will not believe you"
insist on,to say very firmly that something must happen or must be done
insure against,to do something to stop something bad from happening
interfere with,to attack a child by touching them sexually
interfere with,to persuade a witness to give false information in a court of law
interfere with,to prevent something from happening or developing in the correct way
interfere with,"to use, handle, or change something, although you have no right to do this, especially so that you damage or spoil it"
invest in,"to buy something, especially something that you need and will use a lot"
invest in,to spend money on something in order to improve it or make it more successful
invest in,to use something such as time or effort for a particular purpose
invest with,"to give a person or organization power, influence, or authority"
invest with,to give something or someone a particular quality
invite along,to ask someone to go somewhere with you or do something with you
invite back,to ask someone to come to your house after you have been somewhere with them
invite back,to invite someone to your house after you have been to their house
invite in,"to ask someone to come into your house, for example after you have been out with them"
invite out,"to invite someone to go somewhere such as a restaurant or cinema with you, often because you want to start a romantic or sexual relationship with them"
invite over,"to invite someone to your house, for example for a meal"
invite round,same as invite
iron out,"to deal successfully with a disagreement or problem, especially by removing the last remaining difficulties"
iron out,"to improve something, to get rid of imperfections from something"
issue forth,to come out of a place or thing
issue from,"if something such as a sound or smell issues from a place, it comes out from there"
jabber away,talk fast or incomprehensibly
jack around,to treat someone badly because you are not clear or honest with them
jack around,to waste time doing stupid things
jack in,to connect two pieces of electronic or computer equipment so that you can start using them
jack in,"to stop doing something, especially a job or a course of study"
jack up,"to be very excited or nervous, especially because you have taken an illegal drug"
jack up,"to increase the price, rate, or number of something by a large amount"
jack up,to put an illegal drug into your body using a needle
jack up,to refuse to obey instructions
jack up,"to use a jack to lift and support a heavy object, especially a car"
jam on,to put your foot very suddenly and hard on the brake of a vehicle because you want to stop quickly
jam up,same as jam
jaw away,talk just for the point of talking rather than having anything to say
jazz up,"to make something more lively, exciting, or interesting"
jerk around,to behave in a stupid way
jerk around,to treat someone in an unfair or dishonest way
jerk off,to masturbate
jib at,to be unwilling to do or accept something
jockey into,persuade or deceive someone into doing something
jog along,"to continue without changing, in a way that is not interesting or exciting"
join in,to do an activity with people who are already doing it
join up,same as join
join up,to become a member of the armed forces
join up,to meet someone as planned
join up,to work together to achieve something
join with,to say or do something with someone else
joke around,"be funny, or try to"
jolly along,to continue encouraging and persuading someone to do something
jolly up,to make an event or activity more lively and enjoyable
jot down,make a quick note
juice up,"to improve something by making it more interesting, attractive, or powerful"
jump at,to take an opportunity that is offered to you in a very enthusiastic way
jump in,to become involved in a situation very quickly
jump in,to become involved in a very difficult situation
jump in,to become involved in something without thinking carefully about it
jump in,to interrupt someone while they are talking
jump into,to become involved in a situation very quickly
jump into,to have sex with someone who you have just met
jump off,"if words or pictures jump off the page, they are the first thing that you notice"
jump on,same as jump
jump on,to criticize someone severely
jump out at,"if something jumps out at you, you notice it immediately"
jump up,same as jump
jump up,"to be very angry, excited, or enthusiastic"
keel over,"if a person keels over, they fall, especially because they unexpectedly feel ill"
keel over,"if a ship keels over, it falls sideways"
keel over,to suddenly stop working correctly
keep around,keep something near you
keep at,continue with something difficult
keep away,"to avoid someone or something, or to make someone else do this"
keep back,"if you keep back laughter or tears, you stop yourself laughing or crying"
keep back,to keep part of an amount of money that belongs to someone or is owed to them
keep back,to keep part of something so that you can use it later
keep back,"to not move towards someone or something, or to stop someone from doing this"
keep back,"to not tell someone something, or to not show how you feel"
keep back,to prevent someone from making progress
keep down,to control people in such a strict or cruel way that they have very little freedom or very few rights
keep down,to control something and prevent it from increasing in size or number
keep down,to make a noise less loud
keep down,to stop someone from achieving what they are capable of achieving
keep down,to succeed in keeping food in your stomach although you feel as if you want to vomit
keep from,to not tell someone something
keep from,to prevent someone from doing something or prevent something from happening
keep in,"to make someone stay in a place, especially in school as a punishment"
keep in with,"to stay friendly with someone, especially someone who can help you"
keep off,"if rain or snow keeps off, it does not fall, although you expected it to"
keep off,to avoid a particular type of food or drink
keep off,to avoid mentioning a particular subject in a conversation
keep off,to not go onto a particular area of land
keep off,"to not touch something, or to prevent something from touching something"
keep on,to continue doing something
keep on,to continue talking about something in a way that annoys people
keep on,to continue to employ someone
keep out,to prevent someone or something from entering a place
keep out,used on signs to tell people not to go into a place
keep out of,to not become involved with something
keep to,"to follow an agreement or a rule, by doing what you should do or what you said you would do"
keep to,to prevent an amount or number from passing a limit
keep to,"to stay on a path, road etc when you are going somewhere"
keep to,"to write or talk about the subject that you have started to talk about, and not any other subject"
keep up,to continue to do something
keep up,"to continue to learn about something or find out about something, so that you know the latest things that are happening"
keep up,to continue to pretend that something is true
keep up,to continue to understand what someone is saying
keep up,to make progress or learn at the same speed as someone or something
keep up,to move at the same speed as someone or something
keep up,to prevent someone from going to bed
keep up at,"continue, not quit"
keep up with,to continue to do something
keep up with,"to continue to learn about something or find out about something, so that you know the latest things that are happening"
keep up with,to continue to pretend that something is true
keep up with,to continue to understand what someone is saying
keep up with,to make progress or learn at the same speed as someone or something
keep up with,to move at the same speed as someone or something
keep up with,to prevent someone from going to bed
key down,"relax, unwind"
key in,same as key
key in on,"focus attention on, single out"
key on,"target, focus on (sport)"
key to,to change something so that it is suitable for a particular purpose
key up,make someone excited or nervous
kick about,"if an idea or suggestion is kicking around, people know about it but no one is doing much about it"
kick about,"if people are kicking around, or kicking around a place, they are in that place without any definite plans"
kick about,"if something is kicking around, you have it but you are not sure exactly where it is"
kick about,to discuss an idea or suggestion in an informal way
kick about,to kick a ball in a casual way without showing much enthusiasm or seriousness
kick about,to treat someone in an unkind and unfair way
kick against,to react against someone or something that you do not like but cannot change
kick around,"if an idea or suggestion is kicking around, people know about it but no one is doing much about it"
kick around,"if people are kicking around, or kicking around a place, they are in that place without any definite plans"
kick around,"if something is kicking around, you have it but you are not sure exactly where it is"
kick around,to discuss an idea or suggestion in an informal way
kick around,to kick a ball in a casual way without showing much enthusiasm or seriousness
kick around,to treat someone in an unkind and unfair way
kick around with,spend time with
kick back,to relax
kick down,break something with your feet
kick in,to break a door by kicking it
kick in,"to give something, especially money"
kick in,to hurt someone badly by kicking them
kick in,to start to have an effect
kick in the teeth,"something that makes you feel very disappointed or upset, especially when you have been trying hard to achieve something"
kick off,"to begin, or to begin something"
kick off,to force someone to leave a place or activity
kick off,to make your shoes come off by shaking your feet
kick off,to suddenly become very angry or upset and start fighting or arguing
kick off,"when a football match kicks off, the players start it by kicking the ball"
kick out,to force someone to leave a place or organization
kick out,to try to hit or attack someone suddenly and violently with your foot
kick over,"to behave badly, or to do things that other people do not approve of"
kick up,to complain very angrily about someone or something
kick up,to make something go up into the air
kid around,to behave in a silly way
kill off,"if a writer kills off someone in a book, play, film, or television programme, they make them die in the story"
kill off,to destroy living things so that most or all of them are dead
kill off,"to stop, get rid of, or destroy something"
kip down,"sleep away from your home, often without planning to"
kip down on,sleep on something other than a bed
kiss away,"to help someone to get rid of feelings of sadness, worry, or anger by kissing them to show that you are sympathetic"
kiss off,consider something to be unimportant or inferior
kiss off,used to tell someone to go away
kiss up to,"to try to please a powerful person, because you want them to do something for you"
knock about,"to be somewhere in a place, although you do not know exactly where"
knock about,to discuss ideas in an informal way
knock about,to hit someone a lot
knock about,to spend time somewhere with no particular purpose
knock about,to spend time with someone because you are friends
knock around,"to be somewhere in a place, although you do not know exactly where"
knock around,to discuss ideas in an informal way
knock around,to hit someone a lot
knock around,to spend time somewhere with no particular purpose
knock around,to spend time with someone because you are friends
knock back,"if something knocks you back a particular amount of money, you have to pay that amount of money for it"
knock back,to cause problems or delays for someone
knock back,to drink alcohol quickly or in large amounts
knock back,to refuse to accept someone or something
knock down,to deliberately destroy a building or wall
knock down,to hit someone with a vehicle so that they are injured or killed
knock down,to persuade someone to reduce the price of something
knock down,to reduce a price or amount
knock down,to show that something such as an idea or suggestion is not good or useful
knock it off!,stop doing something annoying
knock off,to be much better than someone or something
knock off,to have sex with someone
knock off,to murder someone
knock off,"to produce something quickly and carelessly, often a copy of something else"
knock off,to reduce a price or an amount
knock off,to steal money or property from a place
knock off,to steal something
knock off,to stop working
knock off,used for telling someone to stop doing something
knock off,used for threatening to hit someone and hurt them very badly
knock out,"to destroy something, or to stop it working"
knock out,to do a lot of work in order to achieve something
knock out,to impress someone very much
knock out,to make someone feel very shocked or upset
knock out,to make someone leave a competition by defeating them
knock out,to make someone lose a quality
knock out,to make someone unconscious
knock out,to produce something quickly or carelessly
knock over,same as knock down
knock over,"to steal money or goods from a bank or business, especially using violence"
knock together,to make two rooms or buildings into one room or building by removing a wall that separates them
knock together,to produce something quickly and easily
knock together,used for threatening to punish two people or groups who are fighting
knock up,same as knock
knock up,to make a woman pregnant
knock up,to wake or call someone by knocking on their door
know from,to recognize the difference between two people or things
know of,"to know about someone or something, but not know any details"
know of,"to know that someone or something exists and who, what, or where they are"
know of,"used for answering that you think something is not true, although you are not completely certain"
knuckle down,"to start working hard, especially when you should have done this earlier"
knuckle under,to do what someone tells you to do
labour under,"to continue doing something or believing something because you think that something else is true, even though it is not"
labour under,to exist or try to live in a situation where there are serious difficulties or problems
ladle out,same as ladle
ladle out,"to give large amounts of money, goods, or information to someone without thinking carefully what it will be used for"
land in,"if a plane or boat lands people or goods somewhere, it brings them there"
land in,"if an aircraft lands, it comes down to the ground"
land in,to arrive at a place by plane or boat
land in,"to arrive somewhere, especially unexpectedly or in a way that causes problems"
land in,"to be in an unpleasant situation or place, or to cause someone to be in an unpleasant situation or place"
land in,to bring a plane down to the ground
land in,to catch a fish and pull it out of the water
land in,to come down to the ground or to a surface after moving or falling through the air
land in,"to get something that you wanted, especially a job or opportunity"
land on,to criticize someone severely
land up,same as land
land up,to finally arrive at a place or situation after a series of events
land up in,"arrive, end a journey in a place, often without planning"
land with,to give someone an unpleasant job that no one else wants to do
lap up,same as lap
lap up,to enjoy something and be keen to get more of it
lapse into,"to change to a different, less usual, or less helpful way of speaking or behaving, often without realizing it"
lapse into,to gradually change to a quieter or less active state
large it up,have a good time when intoxicated
lark about,behave in a silly way
lark around,behave in a silly way
lark it up,enjoy yourself noisily and exuberantly
lash down,to rain in large amounts and with a lot of force
lash into,criticise someone strongly
lash out,to criticize someone or something angrily
lash out,to spend a lot of money on something
lash out,to try to hit or attack someone suddenly and violently
lash out against,criticise something strongly
lash out at,to criticize someone or something angrily
lash out at,to spend a lot of money on something
lash out at,to try to hit or attack someone suddenly and violently
lash out on,spend a lot of money buying something
last out,to continue to be enough for what people need
last out,to manage to stay alive for a particular period of time
latch on,to suddenly understand or realize something
latch on to,"understand something, often after a long time"
latch onto,to go with someone who does not want to be with you
latch onto,to immediately become very interested in something that you discover
laugh at,to behave in a way that shows you are not worried or frightened by something
laugh at,to not be too serious or sensitive about yourself and the things that you do
laugh at,to say unkind things about someone or something that are intended to make them seem silly
laugh at,to say unkind things about someone when they are not there
laugh off,to joke about something in order to show that you think it is not important or serious
launch into,"to start something such as an explanation, project, or attack with a lot of enthusiasm"
launch out,"to start a new activity, especially one that involves some risk"
lay about,to attack someone by hitting them
lay aside,"to keep or save something, especially money, so that you can use it in the future"
lay aside,to not let yourself think about or be influenced by something so that you can achieve an aim
lay aside,to put something down and to one side because you have finished with it or want to save it until another time
lay before,"to offer something to someone to study, discuss, approve etc"
lay down,a way of saying ‘lie down’ that many people think is incorrect
lay down,to form a layer of something such as soil or mud that gradually becomes hard and develops into rock
lay down,"to put something down in order to show you are not going to use it again, for example a weapon or tool"
lay down,to state officially what someone must do or how they must do it
lay down,to tell someone what to do or how to behave in a way that shows that you expect them to obey you completely
lay in,to get and keep a supply of something such as food to use in the future
lay into,to attack someone physically or with cruel words because you are angry with them
lay off,"to end someone’s employment, especially temporarily, because there is not enough work for them"
lay off,"to stop doing or using something, especially for a short period of time"
lay off,to stop doing something that is annoying someone
lay on,to make something such as your admiration for someone or their achievements seem greater or more important than they really are in order to impress someone
lay on,"to provide something such as food, entertainment, or a service, especially without charging for it"
lay on,"to tell or show something to someone, especially when you do not expect them to like it"
lay out,"to arrange something according to a detailed plan, for example rooms in a building, roads in a town, or areas on a piece of land"
lay out,to explain something carefully and clearly
lay out,to hit someone so hard that they fall to the ground and become unconscious
lay out,to prepare a dead body so that people can come to see it before it is buried
lay out,to spend an amount of money
lay out,"to spread something out, or to arrange things so you can see them easily"
lay to,"if you lay a ship to, or if it lays to, it stops"
lay up,same as lay
lay up,to make someone stay in bed as a result of being ill or injured
lay up,"to not use a vehicle or ship for a period of time, especially because it needs to be repaired"
laze around,same as laze
laze away,"to spend time relaxing and enjoying yourself, doing no work"
lead into,same as lead to
lead off,to begin something by doing or saying something
lead on,"to encourage someone to do something or to expect something, especially by lying to them or promising them something that they cannot have"
lead on to,same as lead to
lead to,to begin a process that causes something to happen
lead to,to make someone think something
lead up to,"if events, problems, actions etc lead up to an important event, they happen one after another in a way that makes it possible for the event to happen"
lead up to,"to gradually direct a conversation towards a particular subject, especially one that is difficult or embarrassing"
lead up to,to happen or exist immediately before something
lead with,"to begin a speech, news broadcast, story etc with a particular story or subject"
lead with,to begin an attack in boxing with a particular hand or hit
leak out,to become known by the public
lean on,to depend on someone
lean on,to press the horn of a car in a determined way
lean on,to put pressure on someone in order to make them do something
leap at,"to be immediately obvious to someone, or to immediately get their attention"
leap in,"to do something immediately, and often with enthusiasm, as soon as you have the chance to do it"
leap on,to be immediately very interested in something or very keen to do or have something
leap out at,"to be immediately obvious to someone, or to immediately get their attention"
leap upon,to be immediately very interested in something or very keen to do or have something
leave aside,to not consider something because you want to consider something else instead
leave behind,"to deliberately not think about something, especially an unpleasant experience, and not let it affect what you do in the future"
leave behind,to forget to take someone or something with you
leave behind,to improve or progress much faster than someone or something else
leave behind,to increase the distance by which you are ahead of someone or something
leave behind,to not take someone or something with you when you go somewhere
leave off,to stop doing something
leave on,not turn off
leave out,for telling someone to stop saying something
leave out,to not include someone or something
leave over,"if part of an amount of something such as money or food is left over, you still have some of it after you have used or eaten the rest of it"
leave over,to still exist from the past
let down,to allow someone or something to move to a lower position
let down,to allow the air to go out of something such as a car tyre
let down,to make someone disappointed by not doing something that they are expecting you to do
let down,to make someone or something less likely to be successful or effective
let down,to try to give someone bad news in a way that does not upset them too much
let down,to use the extra cloth in the hem (=bottom fold) of a piece of clothing to make it longer
let down,to work less hard or make more mistakes than the people who you are working with
let down,to work less hard or to make more mistakes than the people who you are working with
let in,"to allow someone to enter a house, room etc"
let in,to put yourself in a difficult situation
let in,to talk to someone about your problems and feelings
let in on,to tell someone a secret
let into,same as let
let into,"to allow someone to enter a house, room etc"
let off,to allow a passenger to get out of a car or off a bus
let off,to allow someone not to do something that they were expecting to have to do
