phrasalVerb,definition
call at,to say which of the four suits of cards will be trumps (=cards with a higher value) in a card game
call at,to say which side of a coin you think will be showing when it comes down after being tossed in the air
call at,"to speak loudly, or to shout to someone who is not near you"
call at,"to stop at a place on your way to another place, usually so that you can do something"
call at,to telephone a person or organization that provides a service and ask them to come
call at,to telephone someone
call at,"to tell dancers which movements to make, especially for a square dance"
call at,to tell someone that they must show their cards in some card games
call at,to use a particular name or title for someone
call at,"to visit someone, usually for a short time"
call away,"to ask someone to leave a place, usually by telephoning them or sending them a message"
call back,"to ask someone who is trying to get a job, a part in a play etc to return for another interview or audition"
call back,"to go and see someone again, usually for a short time"
call back,"to telephone someone again, or to telephone someone who telephoned you earlier"
call by,"to visit someone, usually for a short time"
call down,to pray for something bad to happen to someone
call for,to go somewhere and get someone or something in order to take them to another place
call for,to make something necessary or suitable
call for,to say publicly that something must happen
call forth,to produce a particular reaction
call in,same as call
call in,to ask a person or organization that provides a service to come and deal with something
call in,"to ask or tell someone to come to a place, usually so that you can talk to them"
call in,to ask someone to help you because you helped them in the past
call in,to ask someone to pay you the money that you lent them
call in,to telephone a radio or television programme with a comment or question
call in,to telephone the place where you work and say where you are or what you are doing
call in,to telephone the place where you work and say you will not come to work because you are ill
call off,to decide that something will not happen
call off,to decide to stop something that is already happening
call off,to stop criticizing or attacking another person
call off,to tell an animal or person to stop attacking or chasing someone
call on,to ask someone to prove a statement they have made
call on,to decide to use something that someone can offer you
call on,to officially ask a person or organization to do something
call on,"to produce a particular quality in yourself, especially by making a great effort"
call on,"to visit someone, usually for a short time"
call out,to ask a person or organization that provides a service to come and deal with something for you
